,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,1.4917686564933705,3.35580534672274,45.612293376805184,0.0,0.0,746.5704865933778,LumA_vs_LumB
DQ597485,1.7635895176377523,2.2447993178694814,44.34270037662983,1.12507137e-316,2.8126784198e-313,715.1592365933124,LumA_vs_LumB
DQ584545,1.4504066374987703,2.005577178306427,44.32359243700512,1.8048805e-316,3.0081341654e-313,714.6871967012303,LumA_vs_LumB
DQ572382,1.5234102770587878,2.1242138964751476,44.258973288786294,8.9237799e-316,1.115472487637e-312,713.0910274166249,LumA_vs_LumB
DQ590013,1.827135803764878,3.2270549756921976,43.92511847940576,3.4253948155e-312,3.425394815498125e-309,704.8488055976037,LumA_vs_LumB
DQ584699,1.8185025232597862,1.2097356166162363,43.874290325335416,1.2025323389006e-311,1.0021102824172e-308,703.5946229569124,LumA_vs_LumB
KF274566,1.8673237491339827,3.697318359082102,43.56966378414578,2.223631196462616e-308,1.5883079974732973e-305,696.0818324619669,LumA_vs_LumB
Histone3,1.4148528305693,1.9512482340848925,42.85779119579427,9.322534485570247e-301,5.826584053481405e-298,678.5530322623993,LumA_vs_LumB
SNORD81,1.4826711800794996,2.641616041506675,42.75311274027754,1.2270844433742713e-299,6.817135796523729e-297,675.9789748347648,LumA_vs_LumB
DQ580854,1.5135757496708628,1.8676803359337595,42.7414312563269,1.635915065701549e-299,8.179575328507745e-297,675.6917838716179,LumA_vs_LumB
DQ141286,1.4593449074288094,1.498485357413588,42.06588643052498,2.6725912853033684e-292,1.2148142205924401e-289,659.104252806144,LumA_vs_LumB
DQ586951,1.3927920675417342,-0.1999636481116937,41.99859575013324,1.3944951532891784e-291,5.810396472038244e-289,657.4543158715894,LumA_vs_LumB
DQ593048,1.5578724599207805,1.4440762391819661,41.69606100574826,2.3322710139172064e-288,8.970273130450794e-286,650.0418356696463,LumA_vs_LumB
septin 9/TNRC6C fusion,1.4081120216910719,-0.09528601947745445,41.64039682006318,9.128852235895697e-288,3.260304369962749e-285,648.6790017032388,LumA_vs_LumB
DQ598167,1.4464468113775126,1.5148626045042046,41.3297546021552,1.8413223026818193e-284,6.137741008939398e-282,641.0794591598474,LumA_vs_LumB
DQ584698,1.416631158838711,0.11754375902936554,41.12031275910703,3.095234475809653e-282,9.672607736905165e-280,635.9615454245335,LumA_vs_LumB
AY006260,1.4592209886408627,2.281816042254925,41.09400809124189,5.889282478028793e-282,1.7321419053025862e-279,635.3191084367412,LumA_vs_LumB
MIR1281,1.487503402808375,0.7818136814893362,41.060830704207625,1.3254853926822289e-281,3.681903868561747e-279,634.5089301048828,LumA_vs_LumB
M26316,1.371525293977741,1.436904048850305,41.02580962134165,3.1203797119137375e-281,8.21152555766773e-279,633.6538639026166,LumA_vs_LumB
MIR4519,1.3992896578827314,1.7238625839767632,40.851020116006254,2.2341333164330857e-279,5.585333291082714e-277,629.3883343594736,LumA_vs_LumB
DM110804,1.3229972271555108,0.42641412057168054,40.8219789962538,4.540997976539292e-279,1.0811899944141172e-276,628.6799613702036,LumA_vs_LumB
TRBV4-2,1.3731314779035082,1.4197935224520162,40.6248833550482,5.579944818589167e-277,1.2681692769520835e-274,623.87500673793,LumA_vs_LumB
DQ590589,1.3832097129711072,-0.28635313366942944,40.61830685452809,6.551113815067866e-277,1.4241551771886665e-274,623.7147590331426,LumA_vs_LumB
DQ585302,1.3672120827679874,1.8382027136925305,40.569459676088066,2.1569201152589877e-276,4.493583573456225e-274,622.524676325738,LumA_vs_LumB
DQ578783,1.3016516845313515,1.3168182034205071,40.456947655654375,3.352610925256092e-275,6.705221850512184e-273,619.7846005924441,LumA_vs_LumB
SNORD48,1.4714776988885747,0.6501241541705556,40.289037856095014,2.0061465580683515e-273,3.8579741501314457e-271,615.698279220315,LumA_vs_LumB
DQ576791,1.354787602710103,0.5603003315953518,40.26407669099642,3.6846402128123717e-273,6.823407801504393e-271,615.0911138376708,LumA_vs_LumB
MIR1268A,1.6022576643069426,2.293139244309606,40.17626903360337,3.125573248250916e-272,5.5813808004480644e-270,612.9558694289549,LumA_vs_LumB
DQ582265,1.3846640419412664,3.1495230439489417,40.161865092416456,4.438187984192781e-272,7.652048248608244e-270,612.6056979309873,LumA_vs_LumB
AY006263,1.442892929017889,-0.008882191801257199,40.01996178353843,1.4020588699383988e-270,2.3367647832306645e-268,609.1573348641393,LumA_vs_LumB
MIR6087,1.2523702904765872,1.0168454369889166,39.70490527715428,2.965045394540918e-267,4.782331281517609e-265,601.5106311387901,LumA_vs_LumB
MIR320E,1.4455749832604319,0.73757438027568,39.627599306508856,1.9367609560999213e-266,3.026188993906127e-264,599.6363768548636,LumA_vs_LumB
SNORD44,1.9142674269116897,1.9350401668743744,39.53305643285816,1.9202999705152456e-265,2.909545409871584e-263,597.3453309438246,LumA_vs_LumB
MIR6759,1.4026599179294024,1.2447191161378905,39.31487601251869,3.806248349360259e-263,5.5974240431768515e-261,592.0629328786097,LumA_vs_LumB
MIR6727,1.5316905398879836,1.416571635724701,39.02502124225641,4.24326236953558e-260,6.061803385050828e-258,585.0557095601185,LumA_vs_LumB
DQ578106,1.52582434286813,2.682033617413504,38.80180976692369,9.346354608084274e-258,1.2981048066783715e-255,579.6679922745649,LumA_vs_LumB
SNORD95,1.278061102929843,1.624750366043709,38.76795622909651,2.116912807547013e-257,2.860692983171639e-255,578.8515131646642,LumA_vs_LumB
MIR5096,1.2417763997195779,0.5417230279087617,38.66486092818451,2.54985046783e-256,3.3550664050394735e-254,576.366137153358,LumA_vs_LumB
TRNA_Val,1.4092603408511502,3.155060531813406,38.50300150039574,1.264601152149783e-254,1.6212835283971578e-252,572.4674051858224,LumA_vs_LumB
DQ598345,-2.6317580009590045,3.1468082148024283,-38.0850850676584,2.959447923301582e-250,3.6993099041269776e-248,562.4201599755876,LumA_vs_LumB
JC037707,1.2136688255925496,1.8209697751054263,37.71614449446356,2.0801687909671687e-246,2.536791208496547e-244,553.5741741659871,LumA_vs_LumB
TRNA_Pseudo,1.2004477085832461,0.9324787942171434,37.67222151532985,5.962261572866783e-246,7.097930443889027e-244,552.5225798279365,LumA_vs_LumB
DQ580250,1.5441893392587325,3.2673898906274546,37.47593014327917,6.566975705938916e-244,7.63601826271967e-242,547.8270960419758,LumA_vs_LumB
SNORD34,1.2403052647928685,0.31015880102406973,37.268839902946645,9.299691887789617e-242,1.056783169067002e-239,542.8806420108662,LumA_vs_LumB
M37726,1.324631253517889,1.180534133663419,37.17365158478548,9.038527163078229e-241,1.004280795897581e-238,540.6095987461184,LumA_vs_LumB
DQ582231,-1.9290821783147547,4.541270445400446,-37.06818061773386,1.1209345899752392e-239,1.2184071630165644e-237,538.095151215884,LumA_vs_LumB
DM110819,1.39637737378379,0.4698624818075369,37.029614954032844,2.813153506277536e-239,2.9927164960399317e-237,537.1762477736396,LumA_vs_LumB
DD181999,1.3776650802675685,-0.7910774196573324,36.87185789557717,1.2095116080335232e-237,1.25990792503492e-235,533.4202422177241,LumA_vs_LumB
MIR4664,1.3329613762944466,0.920395986611826,36.855591141356534,1.782056230642795e-237,1.8184247251457094e-235,533.0332146130218,LumA_vs_LumB
TCRVB,1.3423817783688614,1.1603032237657978,36.74653340522926,2.3920924407522733e-236,2.3920924407522734e-234,530.4397410691714,LumA_vs_LumB
MIR3064,1.3812669497044905,1.4416563948260452,36.71850525252563,4.661035388992931e-236,4.5696425382283645e-234,529.7735750150134,LumA_vs_LumB
JC037840,1.308442646774708,0.2228067195460979,36.49392990137744,9.713498328766487e-234,9.339902239198546e-232,524.4413685472911,LumA_vs_LumB
SNORD4A,1.3330225573651788,2.8766702324803815,36.46582824788114,1.8934155615030864e-233,1.7862410957576287e-231,523.7748247249663,LumA_vs_LumB
SNORD79,1.2593685449716316,1.4002165375394509,36.340754237976974,3.686178913031111e-232,3.413128623176955e-230,520.8100714976413,LumA_vs_LumB
SNORD52,1.347582642195537,0.9568440443563594,36.33238610742033,4.495643069139408e-232,4.086948244672189e-230,520.6118236049452,LumA_vs_LumB
SNORD87,1.1703831620436547,-0.6598166302641183,35.89304930177834,1.4812222106104416e-227,1.32251983090218e-225,510.22336321699424,LumA_vs_LumB
SNORD78,1.2670903283022787,0.41060499258233274,35.83882141282559,5.334254712785125e-227,4.679170800688706e-225,508.9438409416408,LumA_vs_LumB
